chromosome	start_pos	end_pos	gene	log2	cn	depth	probes	weight	sample_id
chr1	65508	1271849	HES4	0.585556	3	141.034	286	74.9187	RN06641462
chr1	1273038	40871836	HEYL	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	HES5	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	MTOR	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	HES2	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	HDAC1	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	RPS6KA1	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	ARID1A	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	CASP9	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	E2F2	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	MMP23B	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	MTHFR	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	1273038	40871836	SPEN	-0.0972076	2	94.4764	6774	1878.09	RN06641462
chr1	40872336	60287700	RAD54L	0.0576209	2	86.9083	2567	743.576	RN06641462
chr1	40872336	60287700	ZFYVE9	0.0576209	2	86.9083	2567	743.576	RN06641462
chr1	60294436	103352610	JAK1	-0.110286	2	56.9119	3009	932.968	RN06641462
chr1	60294436	103352610	TGFBR3	-0.110286	2	56.9119	3009	932.968	RN06641462
chr1	60294436	103352610	DIRAS3	-0.110286	2	56.9119	3009	932.968	RN06641462
chr1	103487198	119803284	CSF1	-0.0177537	2	80.9354	1673	487.063	RN06641462
chr1	103487198	119803284	NRAS	-0.0177537	2	80.9354	1673	487.063	RN06641462
chr1	119803284	121310662	NOTCH2	0.399287	3	104.054	157	40.3274	RN06641462
chr1	143645025	149376806	CD160	0.375897	3	104.163	371	100.361	RN06641462
chr1	149376879	151162599	APH1A	-0.0433688	2	98.6109	499	131.638	RN06641462
chr1	153600448	228399798	PARP1	0.35744	3	89.9877	8953	2588.49	RN06641462
chr1	153600448	228399798	TGFB2	0.35744	3	89.9877	8953	2588.49	RN06641462
chr1	153600448	228399798	RAB25	0.35744	3	89.9877	8953	2588.49	RN06641462
chr1	153600448	228399798	NCSTN	0.35744	3	89.9877	8953	2588.49	RN06641462
chr1	153600448	228399798	PSEN2	0.35744	3	89.9877	8953	2588.49	RN06641462
chr1	153600448	228399798	MDM4	0.35744	3	89.9877	8953	2588.49	RN06641462
chr1	153600448	228399798	CD244	0.35744	3	89.9877	8953	2588.49	RN06641462
chr2	1263082	89512368	SPTBN1	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	BMP10	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	FANCL	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	MSH2	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	MSH6	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	ADAM17	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	EPCAM	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	1263082	89512368	E2F6	-0.0917452	2	70.1152	7430	2253.92	RN06641462
chr2	95537297	189851938	ACVR2A	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	ACVR1	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	ITGAV	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	INHBB	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	TGFBRAP1	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	CIR1	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	ACVR1C	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	95537297	189851938	MAP3K2	-0.100887	2	69.6201	7570	2275.79	RN06641462
chr2	189932663	231109887	STAT1	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	CXCR2	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	CASP8	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	IDH1	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	INHA	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	CTLA4	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	CXCR1	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	BMPR2	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	BARD1	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	ERBB4	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	189932663	231109887	CASP10	-0.185439	2	70.9582	4043	1196.78	RN06641462
chr2	242662390	243188873	PDCD1	0.918611	4	120.041	62	18.6365	RN06641462
