sample_id	gene_name	target_id	target_type	gene_vl
RN00334078	MAP2K4	cg00030074	T	0.962545
RN00334078	CREBBP	cg00039463	T	0.220806
RN00334078	RB1	cg00059930	T	0.798067
RN00334078	ALK	cg00073794	T	0.907596
RN00334078	IGF1R	cg00098799	T	0.44016
RN00334078	IGF1R	cg00105080	T	0.815186
RN00334078	MYC	cg00163372	T	0.345549
RN00334078	PTEN	cg00164720	T	0.97395
RN00334078	IGF1R	cg00169856	T	0.152389
RN00334078	ARID3B	cg00242443	T	0.907199
RN00334078	CCND1	cg00248856	T	0.702758
RN00334078	CDKN2B-AS1	cg00264650	T	0.325241
RN00334078	LPAR6	cg00286388	T	0.919669
RN00334078	CCND1	cg00347938	T	0.664497
RN00334078	IGF1R	cg00348254	T	0.0373413
RN00334078	ARID1A	cg00371107	T	0.0693479
RN00334078	ARID1B	cg00372369	T	0.507513
RN00334078	RB1	cg00391018	T	0.925184
RN00334078	FLJ45983	cg00407546	T	0.850853
RN00334078	CDKN2A	cg00407600	T	0.0344211
RN00334078	ERBB2	cg00459816	T	0.207081
RN00334078	GATA3	cg00463367	T	0.136308
RN00334078	ARID1B	cg00477990	T	0.978655
RN00334078	RAF1	cg00496504	T	0.890367
RN00334078	IGF1R	cg00500013	T	0.931553
RN00334078	CDKN2B-AS1	cg00501105	T	0.927302
RN00334078	EGFR	cg00511107	T	0.975238
RN00334078	CDKN2B	cg00525580	T	0.0272432
RN00334078	CDKN2A	cg00550721	T	0.927871
RN00334078	WRAP53	cg00566179	T	0.0272086
RN00334078	CDKN2A	cg00587003	T	0.0268048
RN00334078	CDK4	cg00599273	T	0.0933386
RN00334078	ARID1A	cg00604729	T	0.964327
RN00334078	MYC	cg00611675	T	0.123963
RN00334078	MDM2	cg00614420	T	0.0388954
RN00334078	RB1	cg00619497	T	0.0611691
RN00334078	CREBBP	cg00624878	T	0.885686
RN00334078	EGFR	cg00629983	T	0.0226657
RN00334078	CDH1	cg00632260	T	0.661853
RN00334078	ARID3B	cg00638992	T	0.973149
RN00334078	ALK	cg00643897	T	0.19464
RN00334078	PIK3CA	cg00658016	T	0.150689
RN00334078	CREBBP	cg00674848	T	0.973366
RN00334078	RAF1	cg00714198	T	0.0259788
RN00334078	CTCF	cg00716961	T	0.953689
RN00334078	CDKN2BAS	cg00718440	T	0.0491032
RN00334078	ALK	cg00734858	T	0.69721
RN00334078	CREBBP	cg00747661	T	0.0385166
RN00334078	IGF1R	cg00756949	T	0.942261
RN00334078	FLJ45983	cg00779924	T	0.878538
RN00334078	IGF1R	cg00780909	T	0.961733
RN00334078	ERBB3	cg00825177	T	0.374322
RN00334078	CDH1	cg00852019	T	0.959934
RN00334078	CCND1	cg00858899	T	0.0746479
RN00334078	ARID1B	cg00877708	T	0.876411
RN00334078	PIK3CA	cg00902265	T	0.0351586
RN00334078	PALB2	cg00905951	T	0.0397829
RN00334078	ERBB3	cg00907267	T	0.304514
RN00334078	EGFR	cg00912277	T	0.938339
RN00334078	MAP2K4	cg00947023	T	0.922298
RN00334078	NOTCH3	cg00951422	T	0.158766
RN00334078	CCND1	cg00953256	T	0.421486
RN00334078	ATM	cg00978083	T	0.934926
RN00334078	ATM	cg00978897	T	0.942961
RN00334078	CREBBP	cg01010931	T	0.912029
RN00334078	IGF1R	cg01021488	T	0.201351
RN00334078	ARID1B	cg01036050	T	0.977049
RN00334078	MYC	cg01052743	T	0.0549255
RN00334078	ARHGAP31	cg01064150	T	0.969111
RN00334078	MDM2	cg01075775	T	0.924641
RN00334078	PTEN	cg01079563	T	0.441976
RN00334078	RAF1	cg01092365	T	0.304716
RN00334078	MDM2	cg01098785	T	0.0487011
RN00334078	ALK	cg01104149	T	0.954755
RN00334078	ARID1B	cg01145604	T	0.958211
RN00334078	ALK	cg01147467	T	0.897998
RN00334078	IGF1R	cg01161839	T	0.972239
RN00334078	FLJ45983	cg01166071	T	0.0401439
RN00334078	ALK	cg01166989	T	0.808895
RN00334078	CDH1	cg01167796	T	0.958779
RN00334078	ERBB3	cg01178113	T	0.0537943
RN00334078	MDM2	cg01202278	T	0.0674895
RN00334078	MYC	cg01203549	T	0.0165884
RN00334078	ARID1B	cg01208296	T	0.625923
RN00334078	IGF1R	cg01216876	T	0.0741027
RN00334078	RAD51C	cg01219490	T	0.875896
RN00334078	IGF1R	cg01224063	T	0.0388633
RN00334078	FLJ45983	cg01224891	T	0.0446287
RN00334078	PTEN	cg01228636	T	0.0453279
RN00334078	MIR744	cg01234911	T	0.843317
RN00334078	IGF1R	cg01244184	T	0.9412
